1,1,0.01639344262295082,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
8,2,0.13114754098360656,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 23'' LCD])
9,1,0.14754098360655737,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
9,2,0.14754098360655737,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 20'' LCD])
10,1,0.16393442622950818,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
10,2,0.16393442622950818,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 120 Gb, External Monitor: 19'' LCD])
11,1,0.18032786885245902,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
11,2,0.18032786885245902,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 23'' LCD])
12,1,0.19672131147540983,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
12,2,0.19672131147540983,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
13,1,0.21311475409836064,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
13,2,0.21311475409836064,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 23'' LCD])
14,1,0.22950819672131148,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
14,2,0.22950819672131148,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 120 Gb, External Monitor: 23'' LCD])
15,1,0.2459016393442623,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
15,2,0.2459016393442623,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
16,1,0.26229508196721313,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
16,2,0.26229508196721313,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 20'' LCD])
17,1,0.2786885245901639,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
17,2,0.2786885245901639,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
18,1,0.29508196721311475,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
18,2,0.29508196721311475,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
19,1,0.3114754098360656,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
19,2,0.3114754098360656,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 120 Gb, External Monitor: 20'' LCD])
20,1,0.32786885245901637,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
20,2,0.32786885245901637,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 23'' LCD])
21,1,0.3442622950819672,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
21,2,0.3442622950819672,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
22,1,0.36065573770491804,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
22,2,0.36065573770491804,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 120 Gb, External Monitor: 23'' LCD])
23,1,0.3770491803278688,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
23,2,0.3770491803278688,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
24,1,0.39344262295081966,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
24,2,0.39344262295081966,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 19'' LCD])
25,1,0.4098360655737705,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
25,2,0.4098360655737705,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 120 Gb, External Monitor: 23'' LCD])
26,1,0.4262295081967213,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
26,2,0.4262295081967213,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 20'' LCD])
27,1,0.4426229508196721,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
27,2,0.4426229508196721,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 60 Gb, External Monitor: 20'' LCD])
28,1,0.45901639344262296,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
28,2,0.45901639344262296,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 120 Gb, External Monitor: 20'' LCD])
29,1,0.47540983606557374,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
29,2,0.47540983606557374,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 19'' LCD])
30,1,0.4918032786885246,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
30,2,0.4918032786885246,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 20'' LCD])
31,1,0.5081967213114754,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
31,2,0.5081967213114754,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 120 Gb, External Monitor: 20'' LCD])
32,1,0.5245901639344263,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
32,2,0.5245901639344263,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
33,1,0.5409836065573771,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
33,2,0.5409836065573771,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
34,1,0.5573770491803278,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
34,2,0.5573770491803278,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 23'' LCD])
35,1,0.5737704918032787,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
35,2,0.5737704918032787,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 120 Gb, External Monitor: 23'' LCD])
36,1,0.5901639344262295,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
36,2,0.5901639344262295,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 20'' LCD])
37,1,0.6065573770491803,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
37,2,0.6065573770491803,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 120 Gb, External Monitor: 20'' LCD])
38,1,0.6229508196721312,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
38,2,0.6229508196721312,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 120 Gb, External Monitor: 20'' LCD])
39,1,0.639344262295082,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
39,2,0.639344262295082,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 60 Gb, External Monitor: 19'' LCD])
40,1,0.6557377049180327,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
40,2,0.6557377049180327,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 60 Gb, External Monitor: 20'' LCD])
41,1,0.6721311475409836,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
41,2,0.6721311475409836,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
42,1,0.6885245901639344,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
42,2,0.6885245901639344,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 120 Gb, External Monitor: 19'' LCD])
43,1,0.7049180327868853,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
43,2,0.7049180327868853,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 23'' LCD])
44,1,0.7213114754098361,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
44,2,0.7213114754098361,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 23'' LCD])
45,1,0.7377049180327869,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
45,2,0.7377049180327869,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 19'' LCD])
46,1,0.7540983606557377,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
46,2,0.7540983606557377,RandomParty@11,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 20'' LCD])
47,1,0.7704918032786885,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
47,2,0.7704918032786885,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 20'' LCD])
48,1,0.7868852459016393,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
48,2,0.7868852459016393,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 23'' LCD])
49,1,0.8032786885245902,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
49,2,0.8032786885245902,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 23'' LCD])
50,1,0.819672131147541,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
50,2,0.819672131147541,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 20'' LCD])
51,1,0.8360655737704918,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
51,2,0.8360655737704918,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 120 Gb, External Monitor: 23'' LCD])
52,1,0.8524590163934426,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
52,2,0.8524590163934426,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 19'' LCD])
53,1,0.8688524590163934,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
53,2,0.8688524590163934,RandomParty@11,(Offer  bid:Bid[Laptop: Dell, Harddisk: 60 Gb, External Monitor: 23'' LCD])
54,1,0.8852459016393442,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
54,2,0.8852459016393442,RandomParty@11,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
55,1,0.9016393442622951,TitForTatAgent@10,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
55,2,0.9016393442622951,RandomParty@11,(Accept  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
agreement,Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD],1.0,0.8151053951696905
