1,1,0.01639344262295082,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 19'' LCD])
9,2,0.14754098360655737,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
10,1,0.16393442622950818,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
10,2,0.16393442622950818,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
11,1,0.18032786885245902,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 20'' LCD])
11,2,0.18032786885245902,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
12,1,0.19672131147540983,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
12,2,0.19672131147540983,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
13,1,0.21311475409836064,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
13,2,0.21311475409836064,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
14,1,0.22950819672131148,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
14,2,0.22950819672131148,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
15,1,0.2459016393442623,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
15,2,0.2459016393442623,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 19'' LCD])
16,1,0.26229508196721313,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
16,2,0.26229508196721313,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
17,1,0.2786885245901639,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
17,2,0.2786885245901639,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
18,1,0.29508196721311475,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
18,2,0.29508196721311475,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
19,1,0.3114754098360656,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
19,2,0.3114754098360656,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
20,1,0.32786885245901637,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
20,2,0.32786885245901637,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
21,1,0.3442622950819672,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
21,2,0.3442622950819672,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
22,1,0.36065573770491804,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 20'' LCD])
22,2,0.36065573770491804,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
23,1,0.3770491803278688,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
23,2,0.3770491803278688,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
24,1,0.39344262295081966,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
24,2,0.39344262295081966,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
25,1,0.4098360655737705,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
25,2,0.4098360655737705,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
26,1,0.4262295081967213,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 20'' LCD])
26,2,0.4262295081967213,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
27,1,0.4426229508196721,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
27,2,0.4426229508196721,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
28,1,0.45901639344262296,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
28,2,0.45901639344262296,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
29,1,0.47540983606557374,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
29,2,0.47540983606557374,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 19'' LCD])
30,1,0.4918032786885246,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
30,2,0.4918032786885246,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
31,1,0.5081967213114754,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
31,2,0.5081967213114754,TitForTatAgentTB@7,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
agreement,Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD],0.8740242984783759,0.874024298478376
