1,1,0.01639344262295082,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 20'' LCD])
21,1,0.3442622950819672,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
21,2,0.3442622950819672,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
22,1,0.36065573770491804,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
22,2,0.36065573770491804,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
23,1,0.3770491803278688,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
23,2,0.3770491803278688,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
24,1,0.39344262295081966,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
24,2,0.39344262295081966,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
25,1,0.4098360655737705,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
25,2,0.4098360655737705,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
26,1,0.4262295081967213,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
26,2,0.4262295081967213,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
27,1,0.4426229508196721,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
27,2,0.4426229508196721,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
28,1,0.45901639344262296,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
28,2,0.45901639344262296,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
29,1,0.47540983606557374,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
29,2,0.47540983606557374,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
30,1,0.4918032786885246,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
30,2,0.4918032786885246,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
31,1,0.5081967213114754,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
31,2,0.5081967213114754,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
32,1,0.5245901639344263,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
32,2,0.5245901639344263,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
33,1,0.5409836065573771,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
33,2,0.5409836065573771,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
34,1,0.5573770491803278,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
34,2,0.5573770491803278,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
35,1,0.5737704918032787,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
35,2,0.5737704918032787,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
36,1,0.5901639344262295,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
36,2,0.5901639344262295,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
37,1,0.6065573770491803,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
37,2,0.6065573770491803,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
38,1,0.6229508196721312,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
38,2,0.6229508196721312,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
39,1,0.639344262295082,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
39,2,0.639344262295082,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
40,1,0.6557377049180327,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
40,2,0.6557377049180327,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
41,1,0.6721311475409836,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
41,2,0.6721311475409836,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
42,1,0.6885245901639344,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
42,2,0.6885245901639344,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 19'' LCD])
43,1,0.7049180327868853,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
43,2,0.7049180327868853,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 19'' LCD])
44,1,0.7213114754098361,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
44,2,0.7213114754098361,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
45,1,0.7377049180327869,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
45,2,0.7377049180327869,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
46,1,0.7540983606557377,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
46,2,0.7540983606557377,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
47,1,0.7704918032786885,TitForTatAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
47,2,0.7704918032786885,TimeDependentAgentBoulware@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
48,1,0.7868852459016393,TitForTatAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
agreement,Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD],1.0,0.8151053951696905
