1,1,0.01639344262295082,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 20'' LCD])
20,1,0.32786885245901637,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
20,2,0.32786885245901637,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
21,1,0.3442622950819672,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
21,2,0.3442622950819672,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
22,1,0.36065573770491804,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
22,2,0.36065573770491804,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
23,1,0.3770491803278688,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
23,2,0.3770491803278688,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
24,1,0.39344262295081966,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
24,2,0.39344262295081966,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
25,1,0.4098360655737705,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
25,2,0.4098360655737705,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
26,1,0.4262295081967213,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
26,2,0.4262295081967213,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
27,1,0.4426229508196721,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
27,2,0.4426229508196721,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
28,1,0.45901639344262296,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
28,2,0.45901639344262296,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
29,1,0.47540983606557374,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
29,2,0.47540983606557374,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
30,1,0.4918032786885246,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
30,2,0.4918032786885246,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
31,1,0.5081967213114754,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
31,2,0.5081967213114754,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
32,1,0.5245901639344263,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
32,2,0.5245901639344263,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
33,1,0.5409836065573771,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
33,2,0.5409836065573771,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
34,1,0.5573770491803278,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
34,2,0.5573770491803278,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
35,1,0.5737704918032787,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
35,2,0.5737704918032787,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
36,1,0.5901639344262295,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
36,2,0.5901639344262295,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
37,1,0.6065573770491803,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
37,2,0.6065573770491803,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
38,1,0.6229508196721312,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
38,2,0.6229508196721312,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
39,1,0.639344262295082,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
39,2,0.639344262295082,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
40,1,0.6557377049180327,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
40,2,0.6557377049180327,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
41,1,0.6721311475409836,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
41,2,0.6721311475409836,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
42,1,0.6885245901639344,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
42,2,0.6885245901639344,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
43,1,0.7049180327868853,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
43,2,0.7049180327868853,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
44,1,0.7213114754098361,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
44,2,0.7213114754098361,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
45,1,0.7377049180327869,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
45,2,0.7377049180327869,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
46,1,0.7540983606557377,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
46,2,0.7540983606557377,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
47,1,0.7704918032786885,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
47,2,0.7704918032786885,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
48,1,0.7868852459016393,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
48,2,0.7868852459016393,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
49,1,0.8032786885245902,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
49,2,0.8032786885245902,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
50,1,0.819672131147541,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
50,2,0.819672131147541,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
51,1,0.8360655737704918,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
51,2,0.8360655737704918,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
52,1,0.8524590163934426,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
52,2,0.8524590163934426,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
53,1,0.8688524590163934,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
53,2,0.8688524590163934,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
54,1,0.8852459016393442,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
54,2,0.8852459016393442,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
55,1,0.9016393442622951,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
55,2,0.9016393442622951,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
56,1,0.9180327868852459,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
56,2,0.9180327868852459,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
57,1,0.9344262295081968,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
57,2,0.9344262295081968,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
58,1,0.9508196721311475,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
58,2,0.9508196721311475,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
59,1,0.9672131147540983,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
59,2,0.9672131147540983,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
60,1,0.9836065573770492,TitForTatAgentTB@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
60,2,0.9836065573770492,TitForTatAgentTB@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
ended-no-agreement
