1,1,0.01639344262295082,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
9,1,0.14754098360655737,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
9,2,0.14754098360655737,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 30 days, Payment: 30 days after delivery, Returns: Full price])
10,1,0.16393442622950818,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
10,2,0.16393442622950818,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.71, Delivery: 20 days, Payment: 30 days after delivery, Returns: 5% spoilage allowed])
11,1,0.18032786885245902,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
11,2,0.18032786885245902,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 20 days, Payment: 30 days after delivery, Returns: Full price])
12,1,0.19672131147540983,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
12,2,0.19672131147540983,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.98, Delivery: 45 days, Payment: 60 days after delivery, Returns: 5% spoilage allowed])
13,1,0.21311475409836064,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
13,2,0.21311475409836064,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 60 days, Payment: 30 days after delivery, Returns: Full price])
14,1,0.22950819672131148,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
14,2,0.22950819672131148,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.98, Delivery: 45 days, Payment: 30 days after delivery, Returns: Full price])
15,1,0.2459016393442623,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
15,2,0.2459016393442623,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.98, Delivery: 20 days, Payment: Upon delivery, Returns: 5% spoilage allowed])
16,1,0.26229508196721313,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
16,2,0.26229508196721313,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 45 days, Payment: 60 days after delivery, Returns: Full price])
17,1,0.2786885245901639,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
17,2,0.2786885245901639,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.47, Delivery: 45 days, Payment: 60 days after delivery, Returns: 5% spoilage allowed])
18,1,0.29508196721311475,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
18,2,0.29508196721311475,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.71, Delivery: 20 days, Payment: Upon delivery, Returns: 5% spoilage allowed])
19,1,0.3114754098360656,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
19,2,0.3114754098360656,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.12, Delivery: 60 days, Payment: 30 days after delivery, Returns: Full price])
20,1,0.32786885245901637,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
20,2,0.32786885245901637,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
21,1,0.3442622950819672,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
21,2,0.3442622950819672,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.98, Delivery: 45 days, Payment: Upon delivery, Returns: 10% spoilage allowed])
22,1,0.36065573770491804,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
22,2,0.36065573770491804,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 60 days, Payment: Upon delivery, Returns: Full price])
23,1,0.3770491803278688,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
23,2,0.3770491803278688,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.12, Delivery: 45 days, Payment: 60 days after delivery, Returns: Full price])
24,1,0.39344262295081966,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
24,2,0.39344262295081966,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.71, Delivery: 20 days, Payment: 30 days after delivery, Returns: 10% spoilage allowed])
25,1,0.4098360655737705,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
25,2,0.4098360655737705,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.71, Delivery: 45 days, Payment: Upon delivery, Returns: 10% spoilage allowed])
26,1,0.4262295081967213,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
26,2,0.4262295081967213,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.98, Delivery: 60 days, Payment: 30 days after delivery, Returns: Full price])
27,1,0.4426229508196721,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
27,2,0.4426229508196721,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.71, Delivery: 20 days, Payment: 30 days after delivery, Returns: Full price])
28,1,0.45901639344262296,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 30 days, Payment: Upon delivery, Returns: Full price])
28,2,0.45901639344262296,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.98, Delivery: 30 days, Payment: Upon delivery, Returns: 10% spoilage allowed])
29,1,0.47540983606557374,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 30 days, Payment: Upon delivery, Returns: Full price])
29,2,0.47540983606557374,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 60 days, Payment: 60 days after delivery, Returns: Full price])
30,1,0.4918032786885246,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 30 days, Payment: Upon delivery, Returns: Full price])
30,2,0.4918032786885246,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.71, Delivery: 60 days, Payment: 30 days after delivery, Returns: Full price])
31,1,0.5081967213114754,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 30 days, Payment: Upon delivery, Returns: Full price])
31,2,0.5081967213114754,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.98, Delivery: 30 days, Payment: Upon delivery, Returns: Full price])
32,1,0.5245901639344263,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 30 days, Payment: Upon delivery, Returns: Full price])
32,2,0.5245901639344263,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.98, Delivery: 20 days, Payment: Upon delivery, Returns: 10% spoilage allowed])
33,1,0.5409836065573771,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 30 days, Payment: Upon delivery, Returns: Full price])
33,2,0.5409836065573771,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.47, Delivery: 60 days, Payment: 30 days after delivery, Returns: Full price])
34,1,0.5573770491803278,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 30 days, Payment: Upon delivery, Returns: Full price])
34,2,0.5573770491803278,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.12, Delivery: 20 days, Payment: 60 days after delivery, Returns: Full price])
35,1,0.5737704918032787,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 45 days, Payment: Upon delivery, Returns: Full price])
35,2,0.5737704918032787,ConcederNegotiationParty@35,(Accept  bid:Bid[Price: $3.47, Delivery: 45 days, Payment: Upon delivery, Returns: Full price])
agreement,Bid[Price: $3.47, Delivery: 45 days, Payment: Upon delivery, Returns: Full price],0.9267509971782172,0.30725752490588765
