1,1,0.01639344262295082,TitForTatAgent@8,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
28,1,0.45901639344262296,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
28,2,0.45901639344262296,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
29,1,0.47540983606557374,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
29,2,0.47540983606557374,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
30,1,0.4918032786885246,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
30,2,0.4918032786885246,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
31,1,0.5081967213114754,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
31,2,0.5081967213114754,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
32,1,0.5245901639344263,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
32,2,0.5245901639344263,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
33,1,0.5409836065573771,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
33,2,0.5409836065573771,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
34,1,0.5573770491803278,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
34,2,0.5573770491803278,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
35,1,0.5737704918032787,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
35,2,0.5737704918032787,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
36,1,0.5901639344262295,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
36,2,0.5901639344262295,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
37,1,0.6065573770491803,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
37,2,0.6065573770491803,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
38,1,0.6229508196721312,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
38,2,0.6229508196721312,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
39,1,0.639344262295082,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
39,2,0.639344262295082,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
40,1,0.6557377049180327,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
40,2,0.6557377049180327,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
41,1,0.6721311475409836,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
41,2,0.6721311475409836,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
42,1,0.6885245901639344,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
42,2,0.6885245901639344,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
43,1,0.7049180327868853,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
43,2,0.7049180327868853,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
44,1,0.7213114754098361,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
44,2,0.7213114754098361,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
45,1,0.7377049180327869,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
45,2,0.7377049180327869,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
46,1,0.7540983606557377,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
46,2,0.7540983606557377,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
47,1,0.7704918032786885,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
47,2,0.7704918032786885,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
48,1,0.7868852459016393,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
48,2,0.7868852459016393,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
49,1,0.8032786885245902,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
49,2,0.8032786885245902,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
50,1,0.819672131147541,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
50,2,0.819672131147541,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
51,1,0.8360655737704918,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
51,2,0.8360655737704918,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
52,1,0.8524590163934426,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
52,2,0.8524590163934426,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
53,1,0.8688524590163934,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
53,2,0.8688524590163934,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
54,1,0.8852459016393442,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
54,2,0.8852459016393442,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
55,1,0.9016393442622951,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
55,2,0.9016393442622951,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
56,1,0.9180327868852459,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
56,2,0.9180327868852459,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
57,1,0.9344262295081968,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
57,2,0.9344262295081968,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
58,1,0.9508196721311475,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
58,2,0.9508196721311475,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
59,1,0.9672131147540983,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
59,2,0.9672131147540983,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
60,1,0.9836065573770492,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
60,2,0.9836065573770492,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
ended-no-agreement
