1,1,0.01639344262295082,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
19,2,0.3114754098360656,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 0-10 cent, Amount: 100-150 kw, Time: 00-06])
20,1,0.32786885245901637,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
20,2,0.32786885245901637,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 00-06])
21,1,0.3442622950819672,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
21,2,0.3442622950819672,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 20-30 cent, Amount: 100-150 kw, Time: 06-12])
22,1,0.36065573770491804,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
22,2,0.36065573770491804,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 20-30 cent, Amount: 100-150 kw, Time: 06-12])
23,1,0.3770491803278688,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
23,2,0.3770491803278688,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 10-20 cent, Amount: 150-200 kw, Time: 06-12])
24,1,0.39344262295081966,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
24,2,0.39344262295081966,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 10-20 cent, Amount: 150-200 kw, Time: 06-12])
25,1,0.4098360655737705,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
25,2,0.4098360655737705,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 10-20 cent, Amount: 150-200 kw, Time: 06-12])
26,1,0.4262295081967213,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
26,2,0.4262295081967213,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
27,1,0.4426229508196721,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
27,2,0.4426229508196721,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
28,1,0.45901639344262296,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
28,2,0.45901639344262296,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
29,1,0.47540983606557374,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
29,2,0.47540983606557374,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
30,1,0.4918032786885246,BoulwareNegotiationParty@40,(Accept  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
agreement,Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12],1.0,0.33333333333333326
